Standard Model;G2;G3;G2
"Zeitpunkt in s";"firel in deg";"firel in deg";"firel in deg"
0,418167;116,867393;87,560484;116,867393
0,419167;116,953383;87,615463;116,953383
0,420167;117,038625;87,669983;117,038625
0,421167;117,123118;87,724044;117,123118
0,422167;117,206861;87,777647;117,206861
0,423167;117,289855;87,830790;117,289855
0,424167;117,372097;87,883475;117,372097
0,425167;117,453589;87,935701;117,453589
0,426167;117,534329;87,987468;117,534329
0,427167;117,614316;88,038775;117,614316
0,428167;117,693551;88,089624;117,693551
0,429167;117,772032;88,140012;117,772032
0,430167;117,849760;88,189942;117,849760
0,431167;117,926734;88,239412;117,926734
0,432167;118,002953;88,288422;118,002953
0,433167;118,078418;88,336973;118,078418
0,434167;118,153127;88,385064;118,153127
0,435167;118,227080;88,432695;118,227080
0,436167;118,300277;88,479867;118,300277
0,437167;118,372718;88,526578;118,372718
0,438167;118,444402;88,572829;118,444402
0,439167;118,515328;88,618621;118,515328
0,440167;118,585498;88,663952;118,585498
0,441167;118,654909;88,708823;118,654909
0,442167;118,723563;88,753234;118,723563
0,443167;118,791459;88,797184;118,791459
0,444167;118,858596;88,840674;118,858596
0,445167;118,924974;88,883704;118,924974
0,446167;118,990593;88,926273;118,990593
0,447167;119,055454;88,968382;119,055454
0,448167;119,119555;89,010030;119,119555
0,449167;119,182896;89,051218;119,182896
0,450167;119,245478;89,091945;119,245478
0,451167;119,307300;89,132211;119,307300
0,452167;119,368362;89,172017;119,368362
0,453167;119,428665;89,211362;119,428665
0,454167;119,488207;89,250245;119,488207
0,455167;119,546989;89,288668;119,546989
0,456167;119,605010;89,326630;119,605010
0,457167;119,662271;89,364131;119,662271
0,458167;119,718772;89,401171;119,718772
0,459167;119,774512;89,437750;119,774512
0,460167;119,829492;89,473868;119,829492
0,461167;119,883712;89,509525;119,883712
0,462167;119,937171;89,544721;119,937171
0,463167;119,989869;89,579455;119,989869
0,464167;120,041808;89,613728;120,041808
0,465167;120,092985;89,647539;120,092985
0,466167;120,143403;89,680890;120,143403
0,467167;120,193060;89,713778;120,193060
0,468167;120,241957;89,746206;120,241957
0,469167;120,290094;89,778172;120,290094
0,470167;120,337471;89,809676;120,337471
0,471167;120,384088;89,840718;120,384088
0,472167;120,429946;89,871299;120,429946
0,473167;120,475044;89,901419;120,475044
0,474167;120,519382;89,931076;120,519382
0,475167;120,562961;89,960272;120,562961
0,476167;120,605782;89,989006;120,605782
0,477167;120,647843;90,017278;120,647843
0,478167;120,689145;90,045088;120,689145
0,479167;120,729689;90,072436;120,729689
0,480167;120,769475;90,099322;120,769475
0,481167;120,808503;90,125746;120,808503
0,482167;120,846773;90,151708;120,846773
0,483167;120,884285;90,177208;120,884285
0,484167;120,921040;90,202245;120,921040
