Standard Model;Bus 1
"Zeitpunkt in s";"Elektrische Frequenz in Hz"
0,899000;60,000000
0,900000;60,000000
0,901000;60,000000
0,902000;60,000000
0,903000;60,000000
0,904000;60,000000
0,905000;60,000000
0,906000;60,000000
0,907000;60,000000
0,908000;60,000000
0,909000;60,000000
0,910000;60,000000
0,911000;60,000000
0,912000;60,000000
0,913000;60,000000
0,914000;60,000000
0,915000;60,000000
0,916000;60,000000
0,917000;60,000000
0,918000;60,000000
0,919000;60,000000
0,920000;60,000000
0,921000;60,000000
0,922000;60,000000
0,923000;60,000000
0,924000;60,000000
0,925000;60,000000
0,926000;60,000000
0,927000;60,000000
0,928000;60,000000
0,929000;60,000000
0,930000;60,000000
0,931000;60,000000
0,932000;60,000000
0,933000;60,000000
0,934000;60,000000
0,935000;60,000000
0,936000;60,000000
0,937000;60,000000
0,938000;60,000000
0,939000;60,000000
0,940000;60,000000
0,941000;60,000000
0,942000;60,000000
0,943000;60,000000
0,944000;60,000000
0,945000;60,000000
0,946000;60,000000
0,947000;60,000000
0,948000;60,000000
0,949000;60,000000
0,950000;60,000000
0,951000;60,000000
0,952000;60,000000
0,953000;60,000000
0,954000;60,000000
0,955000;60,000000
0,956000;60,000000
0,957000;60,000000
0,958000;60,000000
0,959000;60,000000
0,960000;60,000000
0,961000;60,000000
0,962000;60,000000
0,963000;60,000000
0,964000;60,000000
0,965000;60,000000
0,966000;60,000000
0,967000;60,000000
0,968000;60,000000
0,969000;60,000000
0,970000;60,000000
0,971000;60,000000
0,972000;60,000000
0,973000;60,000000
0,974000;60,000000
0,975000;60,000000
0,976000;60,000000
0,977000;60,000000
0,978000;60,000000
0,979000;60,000000
0,980000;60,000000
0,981000;60,000000
0,982000;60,000000
0,983000;60,000000
0,984000;60,000000
0,985000;60,000000
0,986000;60,000000
0,987000;60,000000
0,988000;60,000000
0,989000;60,000000
0,990000;60,000000
0,991000;60,000000
0,992000;60,000000
0,993000;60,000000
0,994000;60,000000
0,995000;60,000000
0,996000;60,000000
0,997000;60,000000
0,998000;60,000000
0,999000;60,000000
1,000000;60,000000
1,000500;60,000000
1,001167;60,000000
1,002167;60,003957
1,003167;60,006008
1,004167;60,007138
1,005167;60,007790
1,006167;60,008204
1,007167;60,008499
1,008167;60,008736
1,009167;60,008945
1,010167;60,009139
