Classical Model;G2;G3
"Zeitpunkt in s";"firel in deg";"firel in deg"
0,664467;58,286162;38,098564
0,665467;58,091161;37,937469
0,666467;57,895619;37,775992
0,667467;57,699539;37,614139
0,668467;57,502928;37,451918
0,669467;57,305791;37,289336
0,670467;57,108132;37,126400
0,671467;56,909957;36,963119
0,672467;56,711271;36,799500
0,673467;56,512079;36,635549
0,674467;56,312387;36,471276
0,675467;56,112199;36,306687
0,676467;55,911523;36,141790
0,677467;55,710362;35,976593
0,678467;55,508722;35,811103
0,679467;55,306609;35,645329
0,680467;55,104028;35,479278
0,681467;54,900985;35,312958
0,682467;54,697485;35,146376
0,683467;54,493535;34,979541
0,684467;54,289139;34,812461
0,685467;54,084303;34,645143
0,686467;53,879034;34,477595
0,687467;53,673337;34,309827
0,688467;53,467217;34,141844
0,689467;53,260681;33,973656
0,690467;53,053734;33,805271
0,691467;52,846383;33,636697
0,692467;52,638633;33,467942
0,693467;52,430491;33,299013
0,694467;52,221962;33,129920
0,695467;52,013052;32,960670
0,696467;51,803768;32,791272
0,697467;51,594115;32,621734
0,698467;51,384101;32,452065
0,699467;51,173730;32,282271
0,700467;50,963010;32,112363
0,701467;50,751946;31,942347
0,702467;50,540545;31,772233
0,703467;50,328813;31,602029
0,704467;50,116757;31,431743
0,705467;49,904383;31,261384
0,706467;49,691698;31,090960
0,707467;49,478707;30,920479
0,708467;49,265418;30,749950
0,709467;49,051837;30,579381
0,710467;48,837971;30,408781
0,711467;48,623826;30,238158
0,712467;48,409409;30,067521
0,713467;48,194726;29,896878
0,714467;47,979785;29,726238
0,715467;47,764592;29,555608
0,716467;47,549154;29,384999
0,717467;47,333478;29,214418
0,718467;47,117571;29,043873
0,719467;46,901439;28,873374
0,720467;46,685090;28,702928
0,721467;46,468530;28,532544
0,722467;46,251766;28,362232
0,723467;46,034807;28,191998
0,724467;45,817657;28,021853
0,725467;45,600326;27,851804
0,726467;45,382819;27,681859
0,727467;45,165144;27,512028
0,728467;44,947309;27,342319
